order,genus,species,genetics,voucher_ID,country,state_province,biome,locality,latitude,longitude,source,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
65,Anolis,ortonii,no,MZUSP89858,Brazil,Bahia,Atlantic Forest,Una,-15.17,-39.12,Ribeiro-Junior 2015 Zootaxa,240,69,63,1090,292,183,109,245,233,253,224,1520,151,95,12,416,329,409,364
66,Anolis,ortonii,no,MZUSP92167,Brazil,Bahia,Atlantic Forest,Salvador,-13,-38.5,Ribeiro-Junior 2015 Zootaxa,251,65,65,1133,304,204,100,245,251,264,235,1811,292,77,46,756,283,333,537
67,Anolis,ortonii,yes,BM028,Brazil,Para,Amazonia,Vitoria do Xingu: UHE Belo Monte,-3.3228,-51.8448,Miguel T. Rodrigues,256,93,80,457,317,201,116,252,262,263,251,2101,398,31,70,1004,109,152,942
68,Anolis,ortonii,yes,BM565,Brazil,Para,Amazonia,Anapu,-3.4051,-51.4222,Google Earth,260,93,80,444,320,204,116,256,265,267,256,2197,358,34,70,1028,115,149,969
69,Anolis,ortonii,yes,H2026,Brazil,RO,Amazonia,Porto_Velho_Mutum,-9.5981,-65.0478,this_study,264,106,75,606,334,193,141,261,259,271,256,1783,276,22,59,757,90,264,150
70,Anolis,ortonii,yes,H2594,Brazil,RO,Amazonia,Porto_Velho_Abuna,-9.6341,-65.4399,this_study,263,106,75,575,334,193,141,262,259,271,256,1626,269,9,64,713,65,411,114
71,Anolis,ortonii,yes,LSUMZH12993,Ecuador,Sucumbios,Amazonia,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,this_study,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
72,Anolis,ortonii,yes,LSUMZH13904,Brazil,Acre,Amazonia,Porto Walter: Rio Jurua,-8.2509,-72.7677,LSU Museum of Natural Science,255,103,75,584,319,183,136,258,247,261,246,2149,308,37,49,822,174,675,247
73,Anolis,ortonii,yes,LSUMZH14099,Brazil,Amazonas,Amazonia,Labrea: Rio Ituxi Madeirera Scheffer,-8.3464,-65.7161,LSU Museum of Natural Science,263,105,78,443,328,194,134,263,258,267,256,2130,320,22,63,917,98,508,123
74,Anolis,ortonii,yes,LSUMZH14163,Brazil,Para,Amazonia,Alter de Chao,-2.5027,-54.9718,LSU Museum of Natural Science,261,93,78,563,323,204,119,257,267,269,255,1977,340,33,66,928,122,145,482
75,Anolis,ortonii,yes,LSUMZH14304,Brazil,Para,Amazonia,Belterra: Agropecuaria Treviso LTDA,-3.1456,-54.8396,LSU Museum of Natural Science,256,96,79,537,319,198,121,252,262,264,251,1945,339,44,64,890,150,164,796
76,Anolis,ortonii,yes,MPEG25699,Brazil,PA,Amazonia,Portel_FLONA_Caxiuana_Plote_PPBIO,-1.9936,-51.6153,this_study,268,97,86,440,329,217,112,264,273,273,262,2242,334,56,57,972,186,195,862
77,Anolis,ortonii,yes,MPEG27688,Brazil,PA,Amazonia,Belem_Campus_de_Pesquisa_do_MPEG,-1.451,-48.4453,this_study,268,94,88,309,323,217,106,265,271,271,263,2504,375,88,50,1047,295,295,1044
78,Anolis,ortonii,yes,MPEG29325,Brazil,Amazonas,Amazonia,Urucara: Marajatuba,-2.3867,-57.6395,Museu Paraense Emilio Goeldi,272,85,80,519,331,226,105,267,279,279,266,2038,330,50,55,877,197,197,870
79,Anolis,ortonii,yes,MPEG29465,Brazil,Para,Amazonia,Itaituba: Sao Luis (right bank),-4.4725,-56.2461,Museu Paraense Emilio Goeldi,274,97,79,511,337,215,122,269,277,280,267,2112,302,70,48,861,232,276,846
80,Anolis,ortonii,yes,MTR18907,Brazil,Amazonas,Amazonia,Beruri: Itapuru Lago Chaviana,-4.3072,-61.8155,Miguel T. Rodrigues,267,88,83,370,323,218,105,264,267,272,262,2503,325,90,37,857,319,409,854
81,Anolis,ortonii,yes,MTR19241,Brazil,AM,Amazonia,Moiobamba_Rio_Purus,-4.7279,-62.1321,this_study,264,89,83,377,321,214,107,260,264,269,260,2532,340,87,38,875,311,440,875
82,Anolis,ortonii,yes,MTR28130,Brazil,Acre,Amazonia,Serra do Divisor,-7.4388,-73.6582,Ivan Prates,258,106,77,582,323,186,137,259,250,263,249,2474,322,83,37,858,282,745,375
83,Anolis,ortonii,yes,MTR977671,Brazil,Mato Grosso,Amazonia,Aripuana: Rio Aripuana,-10.1758,-59.45,Miguel T. Rodrigues,246,125,67,532,336,150,186,245,241,252,239,1942,327,8,73,948,46,235,94
84,Anolis,ortonii,yes,UFAC0085,Brazil,Acre,Amazonia,Fazenda Experimental Catuaba,-10.0679,-67.6063,based on other specimen from same locality name,260,107,74,744,327,183,144,262,254,266,248,1920,282,35,56,816,118,465,182
85,Anolis,ortonii,yes,MTR09910,Brazil,Bahia,Atlantic Forest,Ilheus,-14.7972,-39.0344,Miguel T. Rodrigues,247,63,61,936,296,194,102,254,247,258,233,1916,201,128,14,560,395,510,507
86,Anolis,ortonii,yes,MTR12160,Brazil,Espirito Santo,Atlantic Forest,Linhares: Reserva Cia Vale do Rio Doce (site B),-19.1517,-40.0644,Miguel T. Rodrigues,239,94,64,1597,312,167,145,253,220,260,218,1210,183,39,49,524,146,365,147
87,Anolis,ortonii,yes,MTR12291,Brazil,Espirito Santo,Atlantic Forest,Linhares: Floresta Nacional de Goytacazes,-19.4483,-40.0804,Google Earth,242,91,61,1699,315,168,147,257,221,264,220,1202,189,36,51,535,139,360,144
88,Anolis,ortonii,yes,MTR34278,Brazil,Bahia,Atlantic Forest,E. E. Gregorio Bondar CEPLAN Barrolandia,-16.0905,-39.2183,Roberta Damasceno,238,76,66,1236,293,178,115,243,231,252,220,1316,154,78,18,386,285,289,326
89,Anolis,ortonii,yes,MTR34436,Brazil,BA,Atlantic Forest,CEPLAC_Barrolandia,-16.0944,-39.2748,this_study,238,76,66,1256,292,178,114,244,230,252,219,1254,156,71,20,386,270,286,293
90,Anolis,punctatus,no,46T2,Brazil,Amazonas,Amazonia,Presidente Figueiredo: UHE Balbina,-1.7424,-59.6162,Google Earth,273,87,82,438,330,225,105,269,279,279,269,2529,407,96,45,1053,342,342,875
91,Anolis,punctatus,no,CM_157567,Peru,Purus,Amazonia,Puesto de control y vigilancia Cocama,-10.39,-71.16,VertNet,253,114,76,665,322,172,150,258,243,259,243,1895,254,35,54,745,127,660,160
92,Anolis,punctatus,no,H0877,Brazil,Rondonia,Amazonia,Porto Velho: Mutum (right bank),-9.6162,-65.0456,Miguel T. Rodrigues,263,106,75,572,334,193,141,261,259,270,256,1780,276,22,59,756,90,264,150
93,Anolis,punctatus,no,KU_105325,Ecuador,Sucumbios,Amazonia,Dureno,0.05,-76.7,VertNet,248,97,87,429,307,196,111,244,250,253,242,3533,381,223,18,1093,695,867,1015
94,Anolis,punctatus,no,KU_112161,Ecuador,Sucumbios,Amazonia,Santa Cecilia,0.05,-76.9667,VertNet,245,98,87,395,303,191,112,241,247,250,240,3463,381,210,18,1082,689,852,1004
