order,genus,species,genetics,voucher_ID,country,state_province,biome,locality,latitude,longitude,source,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
220,Anolis,punctatus,yes,JFT459,Brazil,Espirito Santo,Atlantic Forest,Cariacica: REBIO Duas Bocas,-20.2811,-40.5219,Miguel T. Rodrigues,216,93,62,1679,291,142,149,230,195,237,194,1249,197,44,48,542,154,368,167
221,Anolis,punctatus,yes,JFT773,Brazil,ES,Atlantic Forest,Recanto_da_Preguica_Santa_Teresa,-19.96,-40.52,this_study,209,98,64,1625,285,132,153,223,189,230,189,1285,204,41,51,573,148,397,157
222,Anolis,punctatus,yes,LG1299,Brazil,Bahia,Atlantic Forest,Una,-15.2696,-39.0694,Miguel T. Rodrigues,241,70,64,1078,293,184,109,245,233,253,225,1586,156,99,11,435,348,412,387
223,Anolis,punctatus,yes,MTR05978,Brazil,BA,Atlantic Forest,Serra_do_Teimoso_Jussari,-15.1547,-39.5233,this_study,233,75,65,1191,289,174,115,243,229,247,216,1153,127,58,26,374,199,351,239
224,Anolis,punctatus,yes,MTR12338,Brazil,ES,Atlantic Forest,FLONA_Goyatacazes_Linhares,-19.4483,-40.0804,this_study,242,91,61,1699,315,168,147,257,221,264,220,1202,189,36,51,535,139,360,144
225,Anolis,punctatus,yes,MTR12511,Brazil,ES,Atlantic Forest,Reserva_CVRD_Linhares,-19.0564,-39.8942,this_study,242,90,63,1565,314,172,142,255,222,263,222,1230,180,46,45,508,164,357,164
226,Anolis,punctatus,yes,MTR15267,Brazil,Rio de Janeiro,Atlantic Forest,Cachoeiras de Macacu: PE dos Tres Picos,-22.4354,-42.6216,Google Earth,209,101,59,2127,292,123,169,234,182,236,182,1478,251,28,63,677,102,616,102
227,Anolis,punctatus,yes,MTR17744,Brazil,Minas Gerais,Atlantic Forest,Marlieria: Parque Estadual do Rio Doce,-19.6411,-42.5333,Google Earth,234,119,63,1946,320,134,186,250,206,256,206,1152,214,12,78,630,44,455,44
228,Anolis,punctatus,yes,MTR21545,Brazil,Espirito Santo,Atlantic Forest,Sooretama: REBIO Sooretama,-19.0556,-40.1473,Miguel T. Rodrigues,239,96,65,1552,313,166,147,251,220,259,218,1196,182,37,51,523,139,368,139
229,Anolis,punctatus,yes,MTR34227,Brazil,BA,Atlantic Forest,Fazendo_Boa_sorte_Itapebi,-15.8958,-39.6611,this_study,232,84,66,1426,292,165,127,239,224,247,210,982,139,50,32,352,190,248,193
230,Anolis,punctatus,yes,MTR34414,Brazil,Bahia,Atlantic Forest,Estacao Veracel Porto Seguro,-16.355,-39.1349,Roberta Damasceno,239,76,66,1228,295,180,115,225,254,254,221,1508,166,84,19,455,293,293,406
231,Anolis,punctatus,yes,MTRX1468,Brazil,Espirito Santo,Atlantic Forest,Sao Jose do Calcado: UHE Rosal,-20.9031,-41.7192,Google Earth,206,123,65,1968,295,106,189,223,180,229,179,1254,225,25,66,612,79,466,100
232,Anolis,punctatus,yes,MTRX1478,Brazil,RJ,Atlantic Forest,Rio_de_Janeiro_Floresta_da_Tijuca,-22.9712,-43.2547,this_study,207,92,58,2045,285,127,158,232,182,235,182,1583,220,55,44,623,181,586,181
233,Anolis,punctatus,yes,MUFAL9635,Brazil,Alagoas,Atlantic Forest,Maceio,-9.5073,-35.7099,Google Earth,244,65,68,1086,292,197,95,233,250,255,228,1725,283,41,64,822,136,257,721
