species,ID_number,country,state,locality,latitude,longitude,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Anolis_punctatus,MTR17744,Brazil,MG,Parque_Estadual_do_Rio_Doce_Marlieria,-19.6411,-42.5333,234,119,63,1946,320,134,186,250,206,256,206,1152,214,12,78,630,44,455,44
Anolis_punctatus,MTR18550,Brazil,AM,Beruri_Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3074,-61.8135,267,88,83,370,323,218,105,264,267,272,262,2503,325,90,37,857,319,409,854
Anolis_punctatus,MTR20798,Brazil,RR,Pacaraima,4.4621,-61.1451,222,114,87,375,290,160,130,218,221,226,216,1830,277,40,51,792,195,489,769
Anolis_punctatus,MTR21474,Brazil,AM,Manaus,-2.9979,-59.9494,271,84,81,476,327,224,103,267,277,278,266,2182,288,71,43,820,244,301,801
Anolis_punctatus,MTR21545,Brazil,ES,Reserva_Biologica_de_Sooretama,-19.0556,-40.1473,239,96,65,1552,313,166,147,251,220,259,218,1196,182,37,51,523,139,368,139
Anolis_punctatus,MTR25584,Brazil,RO,Parque_Nacional_Serra_dos_Pacaas_Novos,-10.7868,-63.6281,244,118,73,531,325,164,161,243,240,251,237,2099,330,22,63,947,95,304,147
Anolis_punctatus,MTR28048,Brazil,AC,Parque_Nacional_da_Serra_do_Divisor,-7.4424,-73.6575,258,106,77,565,324,187,137,260,251,264,249,2480,323,83,37,861,282,748,375
Anolis_punctatus,MTR28401,Brazil,AC,Parque_Nacional_da_Serra_do_Divisor,-7.5016,-73.7214,258,107,76,606,325,186,139,260,249,263,249,2423,317,81,37,840,277,622,365
Anolis_punctatus,MTR28593,Brazil,AC,Fazenda_Experimental_Catuaba,-10.0679,-67.6063,260,107,74,744,327,183,144,262,254,266,248,1920,282,35,56,816,118,465,182
Anolis_punctatus,MTR34227,Brazil,BA,Fazendo_Boa_sorte_Itapebi,-15.8958,-39.6611,232,84,66,1426,292,165,127,239,224,247,210,982,139,50,32,352,190,248,193
Anolis_punctatus,MTR34414,Brazil,BA,Estacel_Veracel_Porto_Seguro,-16.442,-39.07,242,75,65,1260,297,183,114,226,256,256,223,1608,177,88,20,486,302,302,429
Anolis_punctatus,MTR976723,Brazil,MT,Gaucha_do_Norte,-13.1833,-53.2564,246,143,70,1065,338,135,203,250,230,254,229,1758,299,3,78,880,23,431,44
Anolis_punctatus,MTR978312,Brazil,MT,Vila_Rica,-9.9,-51.2,263,129,74,520,348,175,173,265,256,268,255,1821,307,3,73,850,29,456,55
Anolis_punctatus,MTRX1468,Brazil,ES,Sao_Jose_do_Calcado_UHE_Rosal,-20.9031,-41.7192,206,123,65,1968,295,106,189,223,180,229,179,1254,225,25,66,612,79,466,100
Anolis_punctatus,MTRX1478,Brazil,RJ,Rio_de_Janeiro_Floresta_da_Tijuca,-22.9712,-43.2547,207,92,58,2045,285,127,158,232,182,235,182,1583,220,55,44,623,181,586,181
Anolis_punctatus,MUFAL9635,Brazil,AL,Maceio,-9.5073,-35.7099,244,65,68,1086,292,197,95,233,250,255,228,1725,283,41,64,822,136,257,721
Anolis_punctatus,PJD409,Brazil,PA,Jacareacanga_UHE_Jatoba,-5.8174,-57.3956,268,103,71,386,340,195,145,263,266,272,263,2136,308,34,53,900,154,288,900
Anolis_punctatus,UNIBAN1670,Brazil,RO,Divisa_dos_municipios_de_Montenegro_e_Cacaulandia,-10.2987,-63.2375,254,116,72,502,335,174,161,253,251,261,247,2356,377,21,61,1028,84,346,191
